,Date,Forecast
0,2020-08-13,11479.476
1,2020-08-14,11462.788
2,2020-08-15,11434.894
3,2020-08-16,11454.17
4,2020-08-17,11439.379
5,2020-08-18,11451.859
6,2020-08-19,11427.653
7,2020-08-20,11541.363
8,2020-08-21,11623.565
9,2020-08-22,11660.225
10,2020-08-23,11696.138
11,2020-08-24,11698.291
12,2020-08-25,11681.547
13,2020-08-26,11558.416
14,2020-08-27,11483.955
15,2020-08-28,11455.787
16,2020-08-29,11381.06
17,2020-08-30,11369.247
18,2020-08-31,11327.769
19,2020-09-01,11289.243
20,2020-09-02,11224.147
21,2020-09-03,11277.243
22,2020-09-04,11307.586
23,2020-09-05,11357.816
24,2020-09-06,11314.461
25,2020-09-07,11226.549
26,2020-09-08,11027.867
27,2020-09-09,10782.138
28,2020-09-10,10409.119
29,2020-09-11,10136.632
30,2020-09-12,10145.976
31,2020-09-13,10088.329
32,2020-09-14,10121.385
33,2020-09-15,10131.967
34,2020-09-16,10129.742
35,2020-09-17,10205.097
36,2020-09-18,10277.455
37,2020-09-19,10343.816
38,2020-09-20,10423.516
39,2020-09-21,10516.554
40,2020-09-22,10660.278
41,2020-09-23,10716.766
42,2020-09-24,10734.499
43,2020-09-25,10684.639
44,2020-09-26,10623.936
45,2020-09-27,10551.598
46,2020-09-28,10432.583
47,2020-09-29,10350.181
48,2020-09-30,10393.911
49,2020-10-01,10430.29
50,2020-10-02,10553.615
51,2020-10-03,10551.131
52,2020-10-04,10561.52
53,2020-10-05,10550.388
54,2020-10-06,10526.702
55,2020-10-07,10517.8545
56,2020-10-08,10471.157
57,2020-10-09,10436.722
58,2020-10-10,10449.686
59,2020-10-11,10487.746
60,2020-10-12,10555.255
61,2020-10-13,10619.494
62,2020-10-14,10682.928
63,2020-10-15,10825.175
64,2020-10-16,10979.992
65,2020-10-17,11094.557
66,2020-10-18,11182.895
67,2020-10-19,11215.816
68,2020-10-20,11227.453
69,2020-10-21,11200.374
70,2020-10-22,11219.632
71,2020-10-23,11276.703
72,2020-10-24,11371.687
73,2020-10-25,11574.186
74,2020-10-26,11835.705
75,2020-10-27,12127.014
76,2020-10-28,12402.856
77,2020-10-29,12685.205
78,2020-10-30,12763.421
79,2020-10-31,12824.913
80,2020-11-01,12916.561
81,2020-11-02,12986.808
82,2020-11-03,13101.811
83,2020-11-04,13224.891
84,2020-11-05,13213.349
85,2020-11-06,13324.394
86,2020-11-07,13451.01
87,2020-11-08,13624.504
88,2020-11-09,13800.551
89,2020-11-10,14056.085
90,2020-11-11,14426.299
91,2020-11-12,14743.22
92,2020-11-13,15056.354
93,2020-11-14,15020.986
94,2020-11-15,15022.501
95,2020-11-16,15261.481
96,2020-11-17,15363.296
97,2020-11-18,15545.348
98,2020-11-19,15806.327
99,2020-11-20,16035.962
100,2020-11-21,16185.978
101,2020-11-22,16414.033
102,2020-11-23,16809.42
103,2020-11-24,17330.135
104,2020-11-25,17716.842
105,2020-11-26,17908.08
106,2020-11-27,18095.828
107,2020-11-28,18275.592
108,2020-11-29,18193.082
109,2020-11-30,18054.564
110,2020-12-01,17957.934
111,2020-12-02,17878.416
112,2020-12-03,17614.816
113,2020-12-04,17490.027
114,2020-12-05,17868.701
115,2020-12-06,18329.537
116,2020-12-07,18677.285
117,2020-12-08,18934.695
118,2020-12-09,18801.555
119,2020-12-10,18876.908
120,2020-12-11,18821.648
121,2020-12-12,18661.42
122,2020-12-13,18666.137
123,2020-12-14,18521.441
124,2020-12-15,18312.484
125,2020-12-16,18152.305
126,2020-12-17,18264.0
127,2020-12-18,18401.17
128,2020-12-19,18768.43
129,2020-12-20,19386.406
130,2020-12-21,20015.596
131,2020-12-22,20752.652
132,2020-12-23,21626.652
133,2020-12-24,22604.879
134,2020-12-25,23145.482
135,2020-12-26,23310.281
136,2020-12-27,23425.514
137,2020-12-28,23423.154
138,2020-12-29,23647.697
139,2020-12-30,24222.787
140,2020-12-31,24691.95
141,2021-01-01,25514.578
142,2021-01-02,26407.121
143,2021-01-03,27230.225
144,2021-01-04,27769.236
145,2021-01-05,28599.941
146,2021-01-06,29431.947
147,2021-01-07,30435.938
148,2021-01-08,31318.484
149,2021-01-09,32522.041
150,2021-01-10,34043.402
151,2021-01-11,35179.156
152,2021-01-12,36434.24
153,2021-01-13,38103.145
154,2021-01-14,39246.473
155,2021-01-15,39570.23
156,2021-01-16,39124.94
157,2021-01-17,38162.547
158,2021-01-18,37230.582
159,2021-01-19,36750.57
160,2021-01-20,37048.86
161,2021-01-21,37833.875
162,2021-01-22,37639.57
163,2021-01-23,36714.688
164,2021-01-24,36249.586
165,2021-01-25,35777.613
166,2021-01-26,35234.184
167,2021-01-27,34279.305
